participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,11.0,2.0,"10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-30p-100.wav,4.0391,25.0,i,30,p,100,150.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_i/07_i_150hz_75db_250ff-30p-250.wav,3.595,25.0,i,30,p,250,155.0
1727,11.0,2.0,"12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-30p-40.wav,4.279,25.0,i,30,p,40,150.0
1727,10.0,1.0,10,l,False,main_files/trial_i/07_i_150hz_75db_250ff-10p-100.wav,2.4953,25.0,i,10,p,100,145.0
1727,9.0,3.0,"7,8,9",l,True,main_files/trial_i/07_i_150hz_75db_250ff-40n-80.wav,5.4281,25.0,i,40,n,80,140.0
1727,11.0,2.0,"10,11",m,True,main_files/trial_i/07_i_150hz_75db_250ff-000-60.wav,4.7228,25.0,i,0,0,0,150.0
1727,11.0,2.0,"12,11",m,True,main_files/trial_i/07_i_150hz_75db_250ff-000-100.wav,4.1204,25.0,i,0,0,0,150.0
1727,11.0,2.0,"10,11",m,True,main_files/trial_i/07_i_150hz_75db_250ff-000-40.wav,3.674,25.0,i,0,0,0,150.0
1727,12.0,4.0,"9,10,13,12",h,True,main_files/trial_i/07_i_150hz_75db_250ff-20p-60.wav,7.0222,25.0,i,20,p,60,155.0
1727,12.0,1.0,12,h,True,main_files/trial_i/07_i_150hz_75db_250ff-10p-80.wav,2.8034,25.0,i,10,p,80,155.0
1727,10.0,3.0,"10,9,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-250.wav,5.1474,25.0,i,10,n,250,145.0
1727,12.0,1.0,12,h,False,main_files/trial_i/07_i_150hz_75db_250ff-40n-40.wav,2.4042,25.0,i,40,n,40,155.0
1727,12.0,5.0,"12,14,12,13,12",h,True,main_files/trial_i/07_i_150hz_75db_250ff-40p-60.wav,10.013,25.0,i,40,p,60,155.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-20n-40.wav,4.9142,25.0,i,20,n,40,150.0
1727,11.0,4.0,"10,11,12,11",m,False,main_files/trial_i/07_i_150hz_75db_250ff-40n-60.wav,6.9473,25.0,i,40,n,60,150.0
1727,11.0,0.0,,l,False,main_files/trial_i/07_i_150hz_75db_250ff-000-250.wav,0.0,25.0,i,0,0,0,150.0
1727,10.0,3.0,"10,11,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-10n-100.wav,6.3898,25.0,i,10,n,100,145.0
1727,12.0,4.0,"10,20,13,12",h,False,main_files/trial_tone/tone_150hz_75db_250ff-000-100.wav,10.9115,25.0,tone,0,0,0,155.0
1727,10.0,2.0,"9,10",l,True,main_files/trial_tone/tone_150hz_75db_250ff-30n-120.wav,3.6107,25.0,tone,30,n,120,145.0
1727,12.0,4.0,"10,9,13,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-10p-250.wav,8.2782,25.0,tone,10,p,250,155.0
