participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-80.wav,1.964,tone,10,p,80,155.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-80.wav,2.731,tone,20,p,80,155.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-120.wav,2.6123,tone,40,n,120,140.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-120.wav,1.7673,tone,30,p,120,155.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-60.wav,4.3453,tone,40,n,60,140.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-120.wav,1.6137,tone,10,n,120,145.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-80.wav,1.7987,tone,30,p,80,160.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-100.wav,1.681,tone,40,n,100,140.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-000-80.wav,3.8626,tone,0,0,0,150.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-80.wav,7.3149,tone,30,n,80,145.0
ENG002,10.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-120.wav,1.6005,tone,30,n,120,145.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-60.wav,5.6626,tone,20,p,60,160.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-40.wav,2.0152,tone,10,n,40,140.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-60.wav,1.9813,tone,40,p,60,160.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-000-60.wav,0.0,tone,0,0,0,150.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-000-40.wav,3.7487,tone,0,0,0,150.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-100.wav,1.9429,tone,20,p,100,160.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-100.wav,1.7977,tone,30,n,100,140.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-100.wav,9.014,tone,20,n,100,140.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-30n-40.wav,4.6967,tone,30,n,40,150.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-80.wav,0.0,tone,10,n,80,150.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-80.wav,1.8268,tone,40,p,80,160.0
ENG002,14.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-100.wav,1.9276,tone,40,p,100,165.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-000-100.wav,0.0,tone,0,0,0,150.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-80.wav,3.9372,tone,40,n,80,140.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-20p-120.wav,1.7605,tone,20,p,120,160.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-10p-60.wav,0.0,tone,10,p,60,150.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-40p-40.wav,2.5977,tone,40,p,40,155.0
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-40.wav,1.8678,tone,30,p,40,155.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-40n-40.wav,1.9995,tone,40,n,40,140.0
ENG002,9.0,main_files/trial_tone/tone_150hz_75db_250ff-20n-120.wav,6.2809,tone,20,n,120,140.0
ENG002,13.0,main_files/trial_tone/tone_150hz_75db_250ff-30p-60.wav,2.0509,tone,30,p,60,160.0
