wals code,name,value,description,latitude,longitude,genus,family
mog,Moghol,1,No tones,35.0,62.0,Mongolic,Altaic
mor,Mor,2,Simple tone system,-2.95,135.75,South Halmahera - West New Guinea,Austronesian
mro,Moro,2,Simple tone system,11.0,30.1666666667,Heiban,Kordofanian
mov,Movima,1,No tones,-13.8333333333,-65.6666666667,Movima,Movima
mui,Muinane,2,Simple tone system,-1.0,-72.5,Boran,Boran
mum,Mumuye,3,Complex tone system,9.0,11.6666666667,Mumuye-Yandang,Niger-Congo
mun,Mundari,1,No tones,23.0,84.6666666667,Munda,Austro-Asiatic
mrl,Murle,2,Simple tone system,6.5,33.5,South Surmic,Eastern Sudanic
mpa,Murrinh-Patha,1,No tones,-14.6666666667,129.666666667,Murrinh-Patha,Southern Daly
nhn,Nahuatl (North Puebla),1,No tones,20.0,-98.25,Aztecan,Uto-Aztecan
nht,Nahuatl (Tetelcingo),1,No tones,19.6666666667,-99.0,Aztecan,Uto-Aztecan
kho,Nama,3,Complex tone system,-25.5,18.0,Khoe-Kwadi,Khoe-Kwadi
nmb,Nambiku\'e1ra (Southern),3,Complex tone system,-14.0,-59.5,Nambikuaran,Nambikuaran
nai,Nanai,1,No tones,49.5,137.0,Tungusic,Altaic
nnc,Nancowry,1,No tones,8.05,93.5,Nicobarese,Austro-Asiatic
nan,Nandi,2,Simple tone system,0.25,35.0,Eastern Nilotic,Eastern Sudanic
nar,Nara (in Ethiopia),2,Simple tone system,15.0833333333,37.5833333333,Nara,Eastern Sudanic
nav,Navajo,2,Simple tone system,36.33,-109.38,Athapaskan,Na-Dene
nax,Naxi,3,Complex tone system,27.5,100.0,Na-Qiangic,Sino-Tibetan
ndt,Ndut,3,Complex tone system,14.9166666667,-16.9166666667,Cangin,Niger-Congo
ndy,Ndyuka,2,Simple tone system,4.5,-54.5,Creoles and Pidgins,other
ntu,Nenets,1,No tones,70.0,76.0,Samoyedic,Uralic
nap,Neo-Aramaic (Persian Azerbaijan),1,No tones,38.0,47.0,Semitic,Afro-Asiatic
nep,Nepali,1,No tones,28.0,85.0,Indic,Indo-European
new,Newari (Kathmandu),1,No tones,27.6666666667,85.5,Himalayish,Sino-Tibetan
nez,Nez Perce,1,No tones,46.0,-116.0,Sahaptian,Penutian
nga,Nganasan,1,No tones,71.0,93.0,Samoyedic,Uralic
nti,Ngiti,3,Complex tone system,1.33333333333,30.25,Lendu,Central Sudanic
ngi,Ngiyambaa,1,No tones,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan
ngz,Ngizim,2,Simple tone system,12.0833333333,10.9166666667,West Chadic,Afro-Asiatic
chu,Nivacle,1,No tones,-23.5,-60.5,Matacoan,Matacoan
niv,Nivkh,2,Simple tone system,53.3333333333,142.0,Nivkh,Nivkh
nko,Nkore-Kiga,2,Simple tone system,-0.916666666667,29.8333333333,Bantu,Niger-Congo
