"","subject_condition","sim_n","BF","subj_n"
"561","beta3","sim161",7999,50
"562","beta3","sim162",1599,50
"563","beta3","sim163",3999,50
"564","beta3","sim164",Inf,50
"565","beta3","sim165",42.4782608695652,50
"566","beta3","sim166",56.1428571428571,50
"567","beta3","sim167",37.8349514563107,50
"568","beta3","sim168",665.666666666667,50
"569","beta3","sim169",16.0212765957447,50
"570","beta3","sim170",2665.66666666667,50
"571","beta3","sim171",Inf,50
"572","beta3","sim172",Inf,50
"573","beta3","sim173",1332.33333333333,50
"574","beta3","sim174",614.384615384615,50
"575","beta3","sim175",33.6320346320346,50
"576","beta3","sim176",25.6666666666667,50
"577","beta3","sim177",799,50
"578","beta3","sim178",Inf,50
"579","beta3","sim179",10.8343195266272,50
"580","beta3","sim180",10.6448326055313,50
"581","beta3","sim181",13.8148148148148,50
"582","beta3","sim182",Inf,50
"583","beta3","sim183",165.666666666667,50
"584","beta3","sim184",Inf,50
"585","beta3","sim185",221.222222222222,50
"586","beta3","sim186",82.3333333333333,50
"587","beta3","sim187",499,50
"588","beta3","sim188",13.1342756183746,50
"589","beta3","sim189",726.272727272727,50
"590","beta3","sim190",Inf,50
"591","beta3","sim191",Inf,50
"592","beta3","sim192",570.428571428571,50
"593","beta3","sim193",23.8447204968944,50
"594","beta3","sim194",887.888888888889,50
"595","beta3","sim195",Inf,50
"596","beta3","sim196",887.888888888889,50
"597","beta3","sim197",0.420959147424512,50
"598","beta3","sim198",139.350877192982,50
"599","beta3","sim199",Inf,50
"600","beta3","sim200",1141.85714285714,50
"601","beta4","sim1",469.588235294118,55
"602","beta4","sim2",399,55
"603","beta4","sim3",Inf,55
"604","beta4","sim4",136.931034482759,55
"605","beta4","sim5",20.505376344086,55
"606","beta4","sim6",379.952380952381,55
"607","beta4","sim7",7999,55
"608","beta4","sim8",185.046511627907,55
"609","beta4","sim9",Inf,55
"610","beta4","sim10",1.56986829424992,55
"611","beta4","sim11",Inf,55
"612","beta4","sim12",1141.85714285714,55
"613","beta4","sim13",50.9480519480519,55
"614","beta4","sim14",346.826086956522,55
"615","beta4","sim15",Inf,55
"616","beta4","sim16",1141.85714285714,55
"617","beta4","sim17",75.9230769230769,55
"618","beta4","sim18",7999,55
"619","beta4","sim19",75.9230769230769,55
"620","beta4","sim20",332.333333333333,55
"621","beta4","sim21",2.11526479750779,55
"622","beta4","sim22",1999,55
"623","beta4","sim23",61.5,55
"624","beta4","sim24",6.73694390715667,55
"625","beta4","sim25",362.636363636364,55
"626","beta4","sim26",284.714285714286,55
"627","beta4","sim27",55.3380281690141,55
"628","beta4","sim28",Inf,55
"629","beta4","sim29",Inf,55
"630","beta4","sim30",3999,55
"631","beta4","sim31",Inf,55
"632","beta4","sim32",Inf,55
"633","beta4","sim33",Inf,55
"634","beta4","sim34",40.2371134020619,55
"635","beta4","sim35",265.666666666667,55
"636","beta4","sim36",101.564102564103,55
"637","beta4","sim37",194.121951219512,55
"638","beta4","sim38",7999,55
"639","beta4","sim39",570.428571428571,55
"640","beta4","sim40",2665.66666666667,55
"641","beta4","sim41",1599,55
"642","beta4","sim42",399,55
"643","beta4","sim43",3999,55
"644","beta4","sim44",7999,55
"645","beta4","sim45",1599,55
"646","beta4","sim46",7999,55
"647","beta4","sim47",Inf,55
"648","beta4","sim48",799,55
"649","beta4","sim49",199,55
